//Some tables have a BLOB table tied to them. In this case if the row exists increment the version and insert a new entry. If the row doesnt exist use version 1. If the row was unchanged do nothing and leave as is
//Site comes from /prisma/seed/import/config.ts
=== ProcessType ===
//For anything Process realted later it will have to use the name to link back and get the ID
name                                               Description
-------------------------------------------------- ----------------------------------------------------------------------------------------------------
ALL                                                All
ASSY                                               Full Assembly
BLANK                                              BLANK
CNC                                                CNC
MET                                                Metallization
MOLD                                               Molding
N/A                                                N/A
PAINT                                              Paint
SUBASSY                                            Sub Assembly

(9 rows affected)

=== Product ===
//For anything Part realted later it will have to use the name to link back and get the ID
sku                                                                                                  Name                                               weight        itemCost
OFDEC03                                                                                              Fussy Decor 6L Inner Server                        0             NULL
OFDEC02                                                                                              Fussy Decor 6L Lid                                 0             2,00
OFDEC021                                                                                             Fussy Decor Rectangular Lid                        NULL          NULL
OFBOT001                                                                                             Fussy Decore 1L Bottle                             0             NULL
OFBOT003                                                                                             Fussy Decore 1L Bottle Flap                        0             NULL
OFBOT002                                                                                             Fussy Decore 1L Bottle Main Cap                    0             NULL
OFPL01                                                                                               Fussy Deep Plates                                  0             1,1696
OFDES02                                                                                              Fussy Designer Box Handle                          0             NULL
OFDES01                                                                                              Fussy Designer L/Box                               0             NULL
OFDPS001                                                                                             Fussy Dessert Spoons 24                            0             NULL
OFDIS01                                                                                              Fussy Dishrack                                     0             NULL
OFDISH03                                                                                             Fussy Dishrack Black                               0             NULL
OFDISH04                                                                                             Fussy Dishrack Silver                              0             NULL
OFDISH02                                                                                             Fussy Dishrack White                               0             NULL
OFDUS01                                                                                              Fussy Dustpan Large                                0             2,373
OFBOW03                                                                                              Fussy Fruit Bowls                                  0             NULL
OFHAN01                                                                                              Fussy Hangers                                      0             NULL
OFLH01                                                                                               Fussy Hinge Lunch Box                              0             1,7797
OFJBC01                                                                                              Fussy Juice Bottle Cap Only                        0             NULL
OFLBJ1                                                                                               Fussy Jumbo Lunch Box                              NULL          NULL
OFLAU01                                                                                              Fussy Laundry Basket                               0             NULL
OFLB01                                                                                               Fussy Linen Basket Base                            0             NULL
OFLB03                                                                                               Fussy Linen Basket Handle                          NULL          NULL
OFLB02                                                                                               Fussy Linen Basket Lid                             0             NULL
OFLBH02                                                                                              Fussy Mini Hinged Lunch Box                        0             NULL
OF500L                                                                                               Fussy Mini Lid                                     0             NULL
OFTUB1                                                                                               Fussy Mini Oval Tub                                0             NULL
OFMSBL                                                                                               Fussy Multi Storer Base Large                      0             NULL
OFMSBM                                                                                               Fussy Multi Storer Base Medium                     0             NULL
OFMSBM01                                                                                             Fussy Multi Storer Base Mini                       0             NULL
